unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1761004800,2025-10-21 00:00:00,AAVE/USD,228.91,228.91,228.82,228.82,2.59017289,592.6833606898
1760918400,2025-10-20 00:00:00,AAVE/USD,221.9,235.18,218.0,229.07,3656.85085965,837674.8264200254
1760832000,2025-10-19 00:00:00,AAVE/USD,214.35,229.94,212.17,222.54,4549.07094789,1012350.2487434404
1760745600,2025-10-18 00:00:00,AAVE/USD,206.08,217.0,205.65,214.48,4258.40469685,913342.6393803878
1760659200,2025-10-17 00:00:00,AAVE/USD,223.43,227.03,200.49,206.32,7412.91166164,1529431.9340295647
1760572800,2025-10-16 00:00:00,AAVE/USD,241.18,245.68,222.6,223.4,5403.74330191,1207196.253646694
1760486400,2025-10-15 00:00:00,AAVE/USD,255.31,262.54,237.12,242.44,4522.88816956,1096529.0078281264
1760400000,2025-10-14 00:00:00,AAVE/USD,261.69,263.79,238.66,255.78,1715.09903187,438688.0303717086
1760313600,2025-10-13 00:00:00,AAVE/USD,251.13,263.13,245.81,261.33,1330.94077972,347814.7539642276
1760227200,2025-10-12 00:00:00,AAVE/USD,234.71,256.17,225.61,251.22,2254.3076706,566327.173008132
1760140800,2025-10-11 00:00:00,AAVE/USD,225.26,244.33,217.79,234.71,4079.54939809,957511.039225704
1760054400,2025-10-10 00:00:00,AAVE/USD,274.09,279.72,174.57,225.38,3352.57095966,755602.4428881708
1759968000,2025-10-09 00:00:00,AAVE/USD,285.51,286.44,268.87,273.73,2377.2474676,650723.9493061481
1759881600,2025-10-08 00:00:00,AAVE/USD,276.75,287.09,274.76,285.42,1762.87205165,503158.94098194304
1759795200,2025-10-07 00:00:00,AAVE/USD,297.09,298.23,275.96,276.72,2260.27834798,625464.2244530256
1759708800,2025-10-06 00:00:00,AAVE/USD,285.7,301.5,283.1,297.42,1382.9962113,411330.733164846
1759622400,2025-10-05 00:00:00,AAVE/USD,283.09,296.05,281.45,285.93,1069.03855799,305670.19488608075
1759536000,2025-10-04 00:00:00,AAVE/USD,290.38,290.99,280.5,283.37,568.45697665,161083.6534733105
1759449600,2025-10-03 00:00:00,AAVE/USD,288.95,299.71,284.33,290.89,2318.27921493,674364.2408309876
1759363200,2025-10-02 00:00:00,AAVE/USD,287.21,294.42,279.41,288.28,1760.01126084,507376.0462749552
1759276800,2025-10-01 00:00:00,AAVE/USD,272.9,288.0,270.09,287.05,2924.09654604,839361.9135407819
1759190400,2025-09-30 00:00:00,AAVE/USD,277.18,278.98,266.48,274.67,1376.68220621,378133.3015797007
1759104000,2025-09-29 00:00:00,AAVE/USD,275.21,280.25,269.23,277.19,1825.55581687,506025.81687819527
1759017600,2025-09-28 00:00:00,AAVE/USD,266.88,277.16,261.43,275.22,1107.83376386,304898.0084895493
1758931200,2025-09-27 00:00:00,AAVE/USD,271.02,272.33,265.76,266.61,1243.80579105,331611.0619518405
1758844800,2025-09-26 00:00:00,AAVE/USD,260.25,272.84,256.71,271.06,2901.10169951,786372.6266691806
1758758400,2025-09-25 00:00:00,AAVE/USD,278.14,279.36,256.27,260.25,2871.48501278,747303.974575995
1758672000,2025-09-24 00:00:00,AAVE/USD,275.02,280.74,268.79,278.05,2963.12619286,823897.2379247231
1758585600,2025-09-23 00:00:00,AAVE/USD,271.21,280.19,263.49,274.89,2221.8570905,610766.2956075451
1758499200,2025-09-22 00:00:00,AAVE/USD,293.0,293.0,252.41,270.56,3383.36438898,915403.0690824288
1758412800,2025-09-21 00:00:00,AAVE/USD,297.34,299.0,293.55,294.5,127.10404395,37432.140943275
1758326400,2025-09-20 00:00:00,AAVE/USD,299.68,300.29,295.21,297.18,631.71484097,187733.01643946455
1758240000,2025-09-19 00:00:00,AAVE/USD,309.42,312.06,297.0,299.16,1338.12848838,400314.5185837608
1758153600,2025-09-18 00:00:00,AAVE/USD,306.2,312.47,304.48,309.4,412.51518973,127632.19970246198
1758067200,2025-09-17 00:00:00,AAVE/USD,298.76,308.5,291.05,306.17,2686.19334763,822431.8172438772
1757980800,2025-09-16 00:00:00,AAVE/USD,298.92,301.81,289.78,299.02,1560.48032869,466614.8278848838
1757894400,2025-09-15 00:00:00,AAVE/USD,306.08,310.09,295.67,299.15,461.13149231,137947.48592453648
1757808000,2025-09-14 00:00:00,AAVE/USD,315.37,315.5,303.12,306.18,395.21502352,121006.9359013536
1757721600,2025-09-13 00:00:00,AAVE/USD,321.22,321.22,310.91,313.89,777.75246245,244128.7204384305
1757635200,2025-09-12 00:00:00,AAVE/USD,309.71,321.88,308.32,321.66,861.74838801,277189.98648729664
1757548800,2025-09-11 00:00:00,AAVE/USD,300.12,310.11,299.64,309.77,2347.91808308,727314.5845956915
1757462400,2025-09-10 00:00:00,AAVE/USD,297.98,305.7,295.81,300.24,1864.50364812,559798.5753115488
1757376000,2025-09-09 00:00:00,AAVE/USD,303.81,309.96,295.07,297.97,831.56042401,247780.05954225973
1757289600,2025-09-08 00:00:00,AAVE/USD,301.84,308.0,298.76,302.81,444.51597181,134603.8814237861
1757203200,2025-09-07 00:00:00,AAVE/USD,299.1,304.05,298.2,301.46,302.08999369,91068.0494977874
1757116800,2025-09-06 00:00:00,AAVE/USD,303.28,304.5,297.84,298.48,165.06854508,49269.659335478405
1757030400,2025-09-05 00:00:00,AAVE/USD,306.49,313.29,298.66,302.25,707.37564636,213804.28911231
1756944000,2025-09-04 00:00:00,AAVE/USD,328.04,331.22,306.55,307.16,1854.84547598,569734.3364020168
